tensor_shapes,dim,device,duration,start_time,end_time,max_gpu_power,avg_gpu_power,max_gpu_util,avg_gpu_utils,max_gpu_memory_used,avg_gpu_memory_used,avg_temperature,max_temperature,gpu_model
"[[105, 115, 120], [113, 115, 120], [121, 115, 120]]",0,cuda,127885.17,2025-07-06T07:46:44.235039,2025-07-06T07:46:44.243238,21.24,21.24,0.0,0.0,749.0,748.83,29.0,29.0,NVIDIA A10
"[[105, 119, 124], [113, 119, 124], [121, 119, 124]]",0,cuda,94186.28,2025-07-06T07:46:54.254027,2025-07-06T07:46:54.260066,54.24,54.24,0.0,0.0,751.0,750.78,31.0,31.0,NVIDIA A10
"[[105, 123, 128], [113, 123, 128], [121, 123, 128]]",0,cuda,98813.44,2025-07-06T07:47:04.270538,2025-07-06T07:47:04.276871,54.61,54.61,0.0,0.0,753.0,752.55,33.0,33.0,NVIDIA A10
"[[105, 127, 132], [113, 127, 132], [121, 127, 132]]",0,cuda,104846.09,2025-07-06T07:47:14.287392,2025-07-06T07:47:14.294111,54.73,54.73,0.0,0.0,753.0,752.79,33.0,33.0,NVIDIA A10
"[[105, 131, 136], [113, 131, 136], [121, 131, 136]]",0,cuda,110719.03,2025-07-06T07:47:24.304571,2025-07-06T07:47:24.311666,55.29,55.29,0.0,0.0,755.0,755.0,34.0,34.0,NVIDIA A10
"[[105, 135, 140], [113, 135, 140], [121, 135, 140]]",0,cuda,117742.39,2025-07-06T07:47:34.322089,2025-07-06T07:47:34.329633,54.98,54.98,0.0,0.0,757.0,756.78,34.0,34.0,NVIDIA A10
"[[105, 139, 144], [113, 139, 144], [121, 139, 144]]",0,cuda,123995.61,2025-07-06T07:47:44.340249,2025-07-06T07:47:44.348194,55.12,55.12,0.0,0.0,757.0,756.58,34.0,34.0,NVIDIA A10
"[[105, 143, 148], [113, 143, 148], [121, 143, 148]]",0,cuda,130482.73,2025-07-06T07:47:54.358701,2025-07-06T07:47:54.367061,56.14,56.14,0.0,0.0,759.0,758.57,35.0,35.0,NVIDIA A10
"[[105, 147, 152], [113, 147, 152], [121, 147, 152]]",0,cuda,137070.77,2025-07-06T07:48:04.377588,2025-07-06T07:48:04.386370,55.81,55.81,0.0,0.0,761.0,760.78,35.0,35.0,NVIDIA A10
"[[105, 151, 156], [113, 151, 156], [121, 151, 156]]",0,cuda,144802.52,2025-07-06T07:48:14.396945,2025-07-06T07:48:14.406221,56.11,56.11,0.0,0.0,775.0,774.77,35.0,35.0,NVIDIA A10
