tensor_shape,dim,device,duration,start_time,end_time,max_gpu_power,avg_gpu_power,max_gpu_util,avg_gpu_utils,max_gpu_memory_used,avg_gpu_memory_used,avg_temperature,max_temperature,gpu_model
"[129, 134, 129]",0,cuda,392967.95,2025-07-03T21:51:11.872842,2025-07-03T21:51:11.898002,29.63,29.63,3.0,3.0,731.0,729.82,31.0,31.0,NVIDIA A10
"[133, 138, 133]",0,cuda,10746.05,2025-07-03T21:51:21.911335,2025-07-03T21:51:21.912031,55.12,55.12,0.0,0.0,731.0,731.0,32.0,32.0,NVIDIA A10
"[137, 142, 137]",0,cuda,336194.25,2025-07-03T21:51:31.923536,2025-07-03T21:51:31.945061,55.33,55.33,0.0,0.0,743.0,743.0,33.0,33.0,NVIDIA A10
"[141, 146, 141]",0,cuda,201483.95,2025-07-03T21:51:41.958357,2025-07-03T21:51:41.971260,55.07,55.07,0.0,0.0,743.0,742.81,33.0,33.0,NVIDIA A10
"[145, 150, 145]",0,cuda,230675.08,2025-07-03T21:51:51.984094,2025-07-03T21:51:51.998865,55.06,55.06,0.0,0.0,751.0,750.85,33.0,33.0,NVIDIA A10
"[149, 154, 149]",0,cuda,215418.47,2025-07-03T21:52:02.011317,2025-07-03T21:52:02.025112,54.9,54.9,0.0,0.0,739.0,737.73,33.0,33.0,NVIDIA A10
"[153, 158, 153]",0,cuda,363943.25,2025-07-03T21:52:12.039699,2025-07-03T21:52:12.063000,55.27,55.26,0.0,0.0,757.0,756.48,34.0,34.0,NVIDIA A10
"[157, 162, 157]",0,cuda,228510.42,2025-07-03T21:52:22.078178,2025-07-03T21:52:22.092810,55.71,55.71,0.0,0.0,743.0,742.67,34.0,34.0,NVIDIA A10
"[161, 166, 161]",0,cuda,447307.06,2025-07-03T21:52:32.104669,2025-07-03T21:52:32.133305,55.52,55.52,0.0,0.0,763.0,762.09,34.0,34.0,NVIDIA A10
"[165, 170, 165]",0,cuda,267815.48,2025-07-03T21:52:42.152837,2025-07-03T21:52:42.169986,55.31,55.31,0.0,0.0,747.0,746.79,34.0,34.0,NVIDIA A10
"[169, 174, 169]",0,cuda,297797.88,2025-07-03T21:52:52.183606,2025-07-03T21:52:52.202674,55.51,55.51,0.0,0.0,769.0,768.52,33.99,34.0,NVIDIA A10
"[173, 178, 173]",0,cuda,391068.11,2025-07-03T21:53:02.215460,2025-07-03T21:53:02.240497,55.32,55.32,0.0,0.0,775.0,772.62,34.0,34.0,NVIDIA A10
"[177, 182, 177]",0,cuda,288526.95,2025-07-03T21:53:12.254588,2025-07-03T21:53:12.273063,55.91,55.88,0.0,0.0,755.0,753.9,34.0,34.0,NVIDIA A10
"[181, 186, 181]",0,cuda,398401.8,2025-07-03T21:53:22.285356,2025-07-03T21:53:22.310863,55.22,55.22,0.0,0.0,781.0,777.42,34.0,34.0,NVIDIA A10
"[185, 190, 185]",0,cuda,501325.25,2025-07-03T21:53:32.322480,2025-07-03T21:53:32.354573,55.52,55.52,0.0,0.0,787.0,785.2,34.0,34.0,NVIDIA A10
"[189, 194, 189]",0,cuda,333313.22,2025-07-03T21:53:42.370625,2025-07-03T21:53:42.391965,56.24,56.1,0.0,0.0,793.0,791.81,34.0,34.0,NVIDIA A10
"[193, 198, 193]",0,cuda,644826.28,2025-07-03T21:53:52.405506,2025-07-03T21:53:52.446783,55.47,55.47,0.0,0.0,799.0,797.35,34.0,34.0,NVIDIA A10
"[197, 202, 197]",0,cuda,547207.97,2025-07-03T21:54:02.459478,2025-07-03T21:54:02.494509,56.38,55.64,0.0,0.0,771.0,770.03,34.0,34.0,NVIDIA A10
"[201, 206, 201]",0,cuda,679143.78,2025-07-03T21:54:12.506801,2025-07-03T21:54:12.550275,55.56,55.56,0.0,0.0,805.0,802.01,34.0,34.0,NVIDIA A10
"[205, 210, 205]",0,cuda,421950.95,2025-07-03T21:54:22.563520,2025-07-03T21:54:22.590532,55.62,55.61,0.0,0.0,811.0,810.43,34.0,34.0,NVIDIA A10
