m,n,p,nnz,sparsity,device,duration,start_time,end_time,max_gpu_power,avg_gpu_power,max_gpu_util,avg_gpu_utils,max_gpu_memory_used,avg_gpu_memory_used,gpu_model
640,512,512,3276,0.01,cuda,1353241.89,2025-06-26T04:46:14.958156,2025-06-26T04:46:15.044772,35.86,35.86,4.0,4.0,318.0,318.0,NVIDIA A10
640,640,512,6553,0.02,cuda,43984.33,2025-06-26T04:46:19.233166,2025-06-26T04:46:19.235987,54.61,54.61,15.0,15.0,318.0,318.0,NVIDIA A10
640,640,640,12288,0.03,cuda,48787.91,2025-06-26T04:46:23.421543,2025-06-26T04:46:23.424674,54.86,54.86,16.0,16.0,318.0,318.0,NVIDIA A10
768,640,640,19660,0.04,cuda,42852.67,2025-06-26T04:46:27.595531,2025-06-26T04:46:27.598281,54.95,54.95,13.0,13.0,318.0,318.0,NVIDIA A10
768,768,640,24576,0.05,cuda,43651.61,2025-06-26T04:46:31.809275,2025-06-26T04:46:31.812076,55.24,55.24,25.0,25.0,318.0,318.0,NVIDIA A10
768,768,768,35389,0.06,cuda,50116.56,2025-06-26T04:46:36.051114,2025-06-26T04:46:36.054329,55.35,55.35,0.0,0.0,318.0,318.0,NVIDIA A10
896,768,768,48168,0.07,cuda,49421.06,2025-06-26T04:46:41.045397,2025-06-26T04:46:41.048570,55.62,55.62,56.0,56.0,320.0,320.0,NVIDIA A10
896,896,768,55050,0.08,cuda,689522.72,2025-06-26T04:46:45.223881,2025-06-26T04:46:45.268020,65.25,65.25,33.0,33.0,318.0,318.0,NVIDIA A10
896,896,896,72253,0.09,cuda,784393.02,2025-06-26T04:46:49.424673,2025-06-26T04:46:49.474883,66.75,66.75,35.0,35.0,318.0,318.0,NVIDIA A10
1024,896,896,91750,0.1,cuda,954310.78,2025-06-26T04:46:53.659222,2025-06-26T04:46:53.720303,55.51,55.51,59.0,59.0,318.0,318.0,NVIDIA A10
1024,1024,896,100925,0.11,cuda,1225541.08,2025-06-26T04:46:57.905548,2025-06-26T04:46:57.983991,59.33,59.33,80.0,80.0,318.0,318.0,NVIDIA A10
1024,1024,1024,125829,0.12,cuda,1678777.67,2025-06-26T04:47:02.165477,2025-06-26T04:47:02.272927,62.64,62.64,91.0,91.0,318.0,318.0,NVIDIA A10
1152,1024,1024,153354,0.13,cuda,48418.12,2025-06-26T04:47:06.391750,2025-06-26T04:47:06.394858,59.45,59.45,80.0,80.0,338.0,338.0,NVIDIA A10
1152,1152,1024,165150,0.14,cuda,2183998.2,2025-06-26T04:47:10.595258,2025-06-26T04:47:10.735042,64.96,64.96,59.0,59.0,318.0,318.0,NVIDIA A10
1152,1152,1152,199065,0.15,cuda,47964.23,2025-06-26T04:47:14.848436,2025-06-26T04:47:14.851513,55.47,55.47,20.0,20.0,338.0,338.0,NVIDIA A10
1280,1152,1152,235929,0.16,cuda,3297870.28,2025-06-26T04:47:19.050902,2025-06-26T04:47:19.261975,70.54,67.49,97.0,49.0,340.0,329.0,NVIDIA A10
1280,1280,1152,250675,0.17,cuda,4191279.81,2025-06-26T04:47:23.462409,2025-06-26T04:47:23.730660,68.58,65.85,83.0,68.5,360.0,349.0,NVIDIA A10
1280,1280,1280,294912,0.18,cuda,4334675.66,2025-06-26T04:47:27.944826,2025-06-26T04:47:28.222254,65.68,63.3,100.0,86.5,358.0,348.0,NVIDIA A10
1408,1280,1280,342425,0.19,cuda,4966471.55,2025-06-26T04:47:32.412762,2025-06-26T04:47:32.730621,84.16,75.95,100.0,67.5,358.0,348.0,NVIDIA A10
1408,1408,1280,360448,0.2,cuda,5647346.31,2025-06-26T04:47:36.872577,2025-06-26T04:47:37.234016,74.21,68.17,100.0,89.5,358.0,358.0,NVIDIA A10
1408,1408,1408,416317,0.21,cuda,6521146.66,2025-06-26T04:47:41.333458,2025-06-26T04:47:41.750816,82.57,71.9,100.0,100.0,358.0,358.0,NVIDIA A10
1536,1408,1408,475791,0.22,cuda,7383736.91,2025-06-26T04:47:45.857003,2025-06-26T04:47:46.329573,82.45,74.3,100.0,89.67,358.0,351.33,NVIDIA A10
1536,1536,1408,497418,0.23,cuda,8524481.34,2025-06-26T04:47:50.566390,2025-06-26T04:47:51.111968,78.75,71.93,100.0,66.67,358.0,358.0,NVIDIA A10
1536,1536,1536,566231,0.24,cuda,9444957.48,2025-06-26T04:47:55.226793,2025-06-26T04:47:55.831281,82.36,73.31,100.0,100.0,378.0,378.0,NVIDIA A10
1664,1536,1536,638976,0.25,cuda,10818184.36,2025-06-26T04:47:59.913387,2025-06-26T04:48:00.605761,89.43,80.81,100.0,87.5,378.0,368.0,NVIDIA A10
1664,1664,1536,664535,0.26,cuda,11939007.56,2025-06-26T04:48:04.868693,2025-06-26T04:48:05.632799,119.17,85.39,100.0,89.75,374.0,365.0,NVIDIA A10
